ESC signal (µs),Thrust (kgf),Thrust (N),Norm RPM^2,RPM,Voltage (V),Current (A)
1000,0,0.00,0.00,0,8.94,0
1000,0,0.00,0.00,0,8.94,0
1000,0,0.00,0.00,0,57.63,0
1000,0,0.00,0.00,0,57.63,0
1000,0,0.00,0.00,0,57.63,0
1000,0,0.00,0.00,0,80.17,0
1000,0,0.00,0.00,0,80.17,0
1000,0,0.00,0.00,0,80.17,0
1000,0,0.00,0.00,0,80.17,0
1000,0,0.00,0.00,0,90.05,0
1000,0,0.00,0.00,0,90.05,0
1000,0,0.00,0.00,0,94.38,0
1000,0,0.00,0.00,0,94.38,0
1000,0,0.00,0.00,0,94.38,0
1000,0,0.00,0.00,0,96.27,0
1000,0,0.00,0.00,0,96.27,0
1000,0,0.00,0.00,0,97.08,0
1000,0,0.00,0.00,0,97.08,0
1000,0,0.00,0.00,0,97.08,0
1000,0,0.00,0.00,0,97.46,0
1000,0,0.00,0.00,0,97.46,0
1000,0,0.00,0.00,0,97.62,0
1000,0,0.00,0.00,0,97.62,0
1000,0,0.00,0.00,0,97.62,0
1000,0,0.00,0.00,0,97.7,0
1000,0,0.00,0.00,0,97.7,0
1000,0,0.00,0.00,0,97.74,0
1000,0,0.00,0.00,0,97.74,0
1000,0,0.00,0.00,0,97.74,0
1000,0,0.00,0.00,0,97.76,0
